time,exp17a_pdps_audio__exp17a_pdps_mpipe-Dancer,exp17a_pdps_audio__exp17a_pdps_mpipe-Cellist,exp17a_pdps_mpipe-Dancer__exp17a_pdps_mpipe-Cellist
0.0,,,
0.5,,,
1.0,,,
1.5,,,
2.0,,,
2.5,,,
3.0,,,
3.5,,,
4.0,,,
4.5,,,
5.0,,,
5.5,,,
6.0,,,
6.5,,,
7.0,,,
7.5,,,
8.0,,,
8.5,,,
9.0,,,
9.5,,,
10.0,,,
10.5,,,
11.0,,,
11.5,,,
12.0,,,
12.5,,,
13.0,,,
13.5,,,
14.0,,,
14.5,,,
15.0,,,
15.5,,,
16.0,,,
16.5,,,
17.0,,,
17.5,,,
18.0,,,
18.5,,,
19.0,,,
19.5,,,
20.0,,,
20.5,,,
21.0,,,
21.5,,,
22.0,,,
22.5,,,
23.0,,,
23.5,,,
24.0,,,
24.5,,,
25.0,,,
25.5,,,
26.0,,,
26.5,,,
27.0,,,
27.5,,,
28.0,,,
28.5,,,
29.0,,,
29.5,,,
30.0,,,
30.5,,,
31.0,,,
31.5,,,
32.0,,,
32.5,,,
33.0,,,
33.5,,,
34.0,,,
34.5,,,
35.0,,,
35.5,,,
36.0,,,
36.5,,,
37.0,,,
37.5,,,
38.0,,,
38.5,,,
39.0,,,
39.5,,,
40.0,,,
40.5,,,
41.0,,,
41.5,,,
42.0,,,
42.5,,,
43.0,,,
43.5,,,
44.0,,,
44.5,,,
45.0,,,
45.5,,,
46.0,,,
46.5,,,
47.0,,,
47.5,,,
48.0,,,
48.5,,,
49.0,,,
49.5,,,
50.0,,,
50.5,,,
51.0,,,
51.5,,,
52.0,,,
52.5,,,
53.0,,,
53.5,,,
54.0,,,
54.5,,,
55.0,,,
55.5,,,
56.0,,,
56.5,,,
57.0,,,
57.5,,,
58.0,,,
58.5,,,
59.0,,,
59.5,,,
60.0,,,
60.5,,,
61.0,,,
61.5,,,
62.0,,,
62.5,,,
63.0,,,
63.5,,,
64.0,,,
64.5,,,
65.0,,,
65.5,,0.37733214420342015,
66.0,,0.35480720234673807,
66.5,,0.5404818923376431,
67.0,,0.31116501374833605,
67.5,,0.3084853748066005,
68.0,,0.3034660875362676,
68.5,,0.29908312122829495,
69.0,,0.2953541149547436,
69.5,,0.29229460416204556,
70.0,,0.28991836919707314,
70.5,,0.2882377651730925,
71.0,,0.28726401952498226,
71.5,,0.28700748575815294,
72.0,,0.2874778441336642,
72.5,,0.28868424233551193,
73.0,,0.2906353715567338,
73.5,,0.2933394759864314,
74.0,,0.29680429649921586,
74.5,,0.30103695262930263,
75.0,,0.30604377094500945,
75.5,,0.31183007318968814,
76.0,,0.31839994480696554,
76.5,,0.32575601511871866,
77.0,,0.3338992970919449,
77.5,,0.3428291624454741,
78.0,,0.3525435773004704,
78.5,,0.36303981710524014,
79.0,,0.3743160676282853,
79.5,,0.38637472173712295,
80.0,,0.399229106781295,
80.5,,0.41291767651508404,
81.0,,0.42753598025035733,
81.5,,0.4433159688343318,
82.0,,0.4608504041335093,
82.5,,0.7367661392060401,
83.0,,0.7959716224168292,
83.5,,0.7923752706614804,
84.0,,0.7919706464500429,
84.5,,0.718374722221621,
85.0,,0.7059940121793635,
85.5,,0.5596714614392791,
86.0,,0.45501656019023107,
86.5,,0.39110441596982826,
87.0,,0.3976048295166622,
87.5,,0.40841528918301,
88.0,,0.4247127169821556,
88.5,,0.5159308314231599,
89.0,,0.5205781193922232,
89.5,,0.5312361817906255,
90.0,,0.5525160492017676,
90.5,,0.58830881530937,
91.0,,0.43206839407787523,
91.5,,0.43541408240034873,
92.0,,0.3860090117940501,
